frame,cpu_ms,gpu_ms
0,16.7134,1.0992
1,16.6510,1.0981
2,16.7003,1.2008
3,16.6483,1.2359
4,16.7074,1.4652
5,16.6662,1.6858
6,16.6893,1.5688
7,16.6639,3.0960
8,16.7079,3.2212
9,16.6920,3.1680
10,16.6495,3.1248
11,16.6970,3.1062
12,16.6667,3.1998
13,16.6707,1.1109
14,16.7235,1.0984
15,16.6440,1.1012
16,16.6742,1.1736
17,16.7146,1.2473
18,16.6869,1.3920
19,16.6623,1.7476
20,16.6758,1.7908
21,16.6676,2.6204
22,16.7093,3.2461
23,16.6797,3.2016
24,16.6464,3.1851
25,16.6846,1.0963
26,16.7273,1.0956
27,16.7016,1.1092
28,16.6086,1.0985
29,16.6806,1.2554
30,16.6880,1.2475
31,16.6807,1.5693
32,16.6787,1.7675
33,16.7124,1.9367
34,16.6464,3.5986
35,16.7092,3.1792
36,16.6881,3.1870
37,16.6604,3.1889
38,16.6642,3.2055
39,16.6740,1.0959
40,16.7006,1.4413
41,16.7063,1.0983
42,16.6505,1.1004
43,16.6885,1.4737
44,16.7411,1.3915
45,16.6034,1.5908
46,16.6969,1.7925
47,16.6625,1.8989
48,16.6971,3.6033
49,16.6691,3.1093
50,16.6889,3.2265
51,16.6653,3.1066
52,16.7275,2.8799
53,16.6384,3.1015
54,16.6745,3.2076
55,16.6837,2.8656
56,16.7355,2.7837
57,16.6347,2.7870
58,16.7542,2.8912
59,16.5999,2.7994
60,16.6802,3.6474
61,16.6727,3.1046
62,16.7011,3.1673
63,16.6588,3.1769
64,16.6899,2.8206
65,16.6845,1.0896
66,16.7300,1.0894
67,16.6234,1.0871
68,16.7075,1.0940
69,16.6483,1.2559
70,16.6938,1.3914
71,16.6729,1.7481
72,16.6847,1.7570
73,16.6802,1.5720
74,16.6716,2.7637
75,16.6898,3.1081
76,16.6850,3.1066
77,16.6682,3.1041
78,16.6778,3.1041
79,16.6762,1.1081
80,16.6969,1.1045
81,16.6829,1.0987
82,16.6884,1.1035
83,16.6598,1.2653
84,16.6852,1.3975
85,16.6768,1.3994
86,16.7064,1.7639
87,16.6482,1.5734
88,16.6859,2.7362
89,16.6801,3.1027
90,16.6913,3.1200
91,16.6730,3.1040
92,16.6913,3.1559
93,16.6675,3.8660
94,16.6915,3.4438
95,16.6599,3.0742
96,16.6937,3.1111
97,16.6687,3.1069
98,16.6950,3.1085
99,16.6745,3.1076
100,16.6878,3.1354
101,16.6847,1.6765
