frame,cpu_ms,gpu_ms
0,0.5204,0.8546
1,0.7013,0.8552
2,0.6606,0.8484
3,0.5105,0.8506
4,0.5278,0.8475
5,0.5217,0.8649
6,0.5243,0.8674
7,0.7000,0.8562
8,0.3795,0.8635
9,0.5293,0.8592
10,0.5217,0.8618
11,0.5535,0.8610
12,0.5231,0.8649
13,0.5420,0.8534
14,0.5077,1.0619
15,0.5354,1.1301
16,0.5116,0.8570
17,0.7407,0.8624
18,0.6220,0.8502
19,0.5308,0.8517
20,0.5415,0.8563
21,0.5123,0.8861
22,0.5416,0.8741
23,0.5244,0.8512
24,0.5503,0.8444
25,0.5253,0.8470
26,0.5222,0.8474
27,0.5246,0.8754
28,0.5298,0.8528
29,0.5277,0.8512
30,0.5590,0.8603
31,0.5044,0.8575
32,0.5233,0.9801
33,0.5461,1.1033
34,0.5325,0.9787
35,0.6571,0.9022
36,0.6775,0.8573
37,0.6483,0.8616
38,0.4539,0.8670
39,0.5250,0.8483
40,0.5283,0.8465
41,0.5297,0.8587
42,0.5038,0.8577
43,0.5336,0.8573
44,0.5517,0.8742
45,0.5190,0.8623
46,0.5402,0.8562
47,0.5267,0.8498
48,0.4997,0.8660
49,0.5304,0.8518
50,0.5178,0.8675
51,0.5398,1.0805
52,0.5215,1.1630
53,0.5465,0.8460
54,0.7323,0.8656
55,0.6567,0.8493
56,0.5449,0.8698
57,0.5033,0.8624
58,0.5140,1.0575
59,0.5459,1.1387
60,0.5266,0.8819
61,0.7163,0.8395
62,0.6370,0.8436
63,0.5604,0.8510
64,0.4951,0.8631
65,0.5313,0.9542
66,0.5637,0.8960
67,0.5137,0.8605
68,0.6189,0.8724
69,0.4666,0.8663
70,0.5273,0.8661
71,0.6263,0.8663
72,0.4267,0.8604
73,0.5415,0.9733
74,0.5275,1.1017
75,0.5284,0.8603
76,0.6358,0.8487
77,0.6904,0.8548
78,0.5238,0.8840
79,0.5318,0.8517
80,0.5088,0.8932
81,0.5542,0.8655
82,0.4838,0.8594
83,0.5662,0.8469
84,0.5223,0.8379
85,0.5305,0.8526
86,0.5146,0.8515
87,0.5219,0.8679
88,0.5355,0.9733
89,0.5255,1.0924
90,0.5420,0.8388
91,0.6335,0.8548
92,0.6755,0.8535
93,0.5193,0.8487
94,0.5418,0.8480
95,0.5232,0.8450
96,0.5282,0.9296
97,0.5153,0.8861
98,0.5476,0.8607
99,0.5842,0.8509
100,0.4911,0.8366
101,0.5285,0.8434
102,0.5194,0.8446
103,0.5102,0.8418
104,0.5200,0.9622
105,0.5210,1.0826
106,0.5239,0.8433
107,0.6442,0.8319
108,0.6732,0.8375
109,0.5212,0.8362
110,0.5116,0.8406
111,0.5374,0.8440
112,0.5172,0.8728
113,0.5332,0.8486
114,0.5275,0.8322
115,0.5443,0.8481
116,0.5017,0.8436
117,0.5731,0.8400
118,0.4879,0.8262
119,0.5100,0.8379
120,0.5181,0.8592
121,0.5146,0.8640
122,0.5228,0.8533
123,0.5403,0.9601
124,0.5238,1.0925
125,0.5202,0.8379
126,0.6294,0.8394
127,0.6867,0.8441
128,0.5255,0.8754
129,0.5252,0.8431
130,0.5180,0.8471
131,0.5614,0.8584
132,0.5112,0.8354
133,0.5209,0.8489
134,0.5331,0.8558
135,0.5072,0.8538
136,0.5451,0.8391
137,0.5202,0.8339
138,0.5220,0.8392
139,0.4972,0.8537
140,0.5216,0.8471
141,0.5328,1.0406
142,0.5353,0.8521
143,0.5107,0.8622
144,0.7352,0.8527
145,0.5301,0.8608
146,0.5386,0.8674
147,0.5157,0.8498
148,0.5450,0.8412
149,0.5294,0.8438
150,0.5021,1.0500
151,0.5186,1.0441
152,0.5273,0.8460
153,0.7305,0.8557
154,0.5717,0.8481
155,0.5110,0.8395
156,0.5295,0.8549
157,0.5180,0.8594
158,0.5171,0.8548
159,0.5460,0.8611
160,0.5293,0.8541
161,0.5093,0.8729
162,0.5320,0.8646
163,0.5357,0.8462
164,0.5521,0.8539
165,0.5145,0.9708
166,0.5110,1.0927
167,0.5318,0.8623
168,0.6312,0.8436
169,0.6794,0.8394
170,0.5366,0.8583
171,0.5051,0.8352
172,0.5304,0.8376
173,0.5466,0.8573
174,0.5222,0.8703
175,0.4999,0.8271
176,0.5416,0.8402
177,0.5408,0.8458
178,0.4850,0.8496
179,0.5358,0.8467
180,0.5280,0.8370
181,0.5250,0.8533
182,0.5247,0.9642
183,0.5045,1.0780
184,0.5454,0.8354
185,0.6304,0.8510
186,0.6672,0.8395
187,0.5224,0.8309
188,0.5390,0.8452
189,0.5167,0.8668
190,0.5148,0.8346
191,0.5159,0.8290
192,0.5527,0.8365
193,0.5122,0.8359
194,0.5873,0.8553
195,0.4616,0.8526
196,0.5197,0.8392
197,0.5443,0.8365
198,0.5273,0.8369
199,0.5020,0.8444
200,0.5185,0.8431
201,0.5179,0.8464
202,0.5341,1.0685
203,0.5230,0.8581
204,0.5363,0.8455
205,0.7324,0.8959
206,0.5448,0.8681
207,0.5108,0.8447
208,0.5724,0.8354
209,0.4955,0.8386
210,0.5106,0.8343
211,0.5172,0.8363
212,0.5252,0.8326
213,0.5250,0.8536
214,0.5196,0.8582
215,0.5197,1.0488
216,0.5449,0.8557
217,0.5268,0.8323
218,0.7109,0.8426
219,0.5375,0.8577
220,0.5079,0.9550
221,0.5302,0.8619
222,0.5481,0.8500
223,0.6130,0.8482
224,0.4385,0.8458
225,0.5500,0.8378
226,0.5063,0.8347
227,0.5287,0.8502
228,0.5185,0.8524
229,0.5176,0.8415
230,0.5440,0.8489
231,0.5196,0.8466
232,0.5133,0.9662
233,0.5273,1.0838
234,0.5301,0.8395
235,0.6378,0.8740
236,0.6804,0.8555
237,0.5254,0.8485
238,0.5522,0.8359
239,0.5342,0.8475
240,0.5181,0.8428
241,0.5189,0.8455
242,0.5328,0.8415
243,0.5177,0.8395
244,0.5297,0.8615
245,0.5203,0.9743
246,0.5222,1.0867
247,0.5448,0.8378
248,0.6424,0.8369
249,0.6636,0.8344
250,0.5203,0.8369
251,0.5303,0.8680
252,0.5299,0.8586
253,0.5171,0.8510
254,0.5648,0.8500
255,0.5138,0.8574
256,0.5167,0.8369
257,0.5278,0.8432
258,0.5358,0.9685
259,0.5041,1.1043
260,0.5202,0.8543
261,0.6571,0.8457
262,0.6944,0.8417
263,0.5150,0.8581
264,0.5219,0.8587
265,0.5338,0.8398
266,0.5340,0.8322
267,0.5175,0.8289
268,0.5131,0.8398
269,0.5203,0.8363
270,0.5215,0.8461
271,0.5391,0.8571
272,0.5046,0.8556
273,0.5376,0.9639
274,0.5273,1.0888
275,0.5194,0.8464
276,0.6328,0.8429
277,0.6875,0.8435
278,0.5253,0.8368
279,0.5192,0.8380
280,0.5247,0.8772
281,0.5243,0.8537
282,0.5199,0.8610
283,0.5593,0.8512
284,0.4903,0.8396
285,0.5395,0.8451
286,0.5230,0.8416
287,0.5175,0.8603
288,0.5235,0.8666
289,0.5299,0.9713
290,0.5317,1.0957
291,0.5256,0.8446
292,0.6375,0.8352
293,0.6705,0.8560
294,0.5205,0.8432
295,0.5151,0.8340
296,0.5463,0.8460
297,0.5166,0.8798
298,0.5181,0.8651
299,0.5404,0.8460
300,0.5380,0.8446
301,0.5187,0.8573
302,0.5338,0.8393
303,0.5182,1.0430
304,0.5360,1.1185
305,0.5102,0.8566
306,0.7232,0.8422
307,0.6287,0.8436
308,0.5378,0.8333
309,0.5080,0.8444
310,0.5306,0.8397
311,0.5150,0.8338
312,0.5417,0.9461
313,0.5248,0.8712
314,0.5071,0.8629
315,0.6308,0.8577
316,0.4462,0.8446
317,0.5496,0.8444
318,0.5195,0.9045
319,0.5123,0.9455
320,0.5300,1.0661
321,0.5755,0.9542
322,0.6368,1.1443
323,0.7564,1.1760
324,0.6387,0.8497
325,0.8838,0.8514
326,0.6549,0.8600
327,0.5382,0.8568
328,0.5266,0.8375
329,0.5252,0.8626
330,0.5225,0.8527
331,0.5121,0.8523
332,0.5457,0.9600
333,0.5080,1.0822
334,0.5166,0.8426
335,0.6420,0.8506
336,0.6777,0.8406
337,0.5204,0.8384
338,0.5365,0.8395
339,0.5183,0.8514
340,0.5261,0.8635
341,0.5288,0.8395
342,0.5300,0.8545
343,0.5399,0.8391
344,0.4998,0.8337
345,0.5517,0.8482
346,0.5101,0.8483
347,0.5226,0.7720
348,0.5314,1.0599
349,0.5268,0.9396
350,0.4475,0.9204
351,0.8222,0.9781
352,0.6370,0.9260
353,0.6546,0.9358
354,0.6946,1.1699
355,0.6220,0.8465
356,0.6428,0.8639
357,0.8783,0.8420
358,0.5202,0.8434
359,0.5463,0.8479
360,0.4952,0.8581
361,0.5303,1.0471
362,0.5297,0.8627
363,0.5309,0.8365
364,0.7175,0.8435
365,0.5462,0.8256
366,0.5102,0.8385
367,0.5305,0.8439
368,0.5086,0.8428
369,0.5396,0.8420
370,0.5301,0.8905
371,0.5246,0.8470
372,0.5115,0.8515
373,0.5697,0.8429
374,0.5235,0.8629
375,0.5369,0.8469
376,0.5030,0.8370
377,0.5488,0.8230
378,0.5076,1.0513
379,0.5170,0.9410
380,0.5285,0.8841
381,0.7405,0.9280
382,0.6362,1.0095
383,0.6254,0.8806
384,0.6803,0.8697
385,0.7098,0.8425
386,0.5595,0.9610
387,0.5128,1.0828
388,0.5144,0.8553
389,0.6479,0.8643
390,0.6779,0.8371
391,0.5437,1.0487
392,0.5371,0.8457
393,0.5020,0.8425
394,0.7391,0.8375
395,0.5248,0.8233
396,0.5207,0.8488
397,0.5202,0.8441
398,0.5113,0.8643
399,0.5528,0.8447
400,0.5211,0.8651
401,0.5480,0.8421
402,0.5017,0.8472
403,0.5443,0.8605
404,0.4978,0.8545
405,0.5373,0.9512
406,0.5342,0.8878
407,0.5202,0.9695
408,0.6423,0.9080
409,0.4443,0.9103
410,0.7022,1.1830
411,0.6031,1.0744
412,0.6377,0.8714
413,0.9174,0.8440
414,0.5746,0.8465
415,0.5198,0.8559
416,0.5278,0.8475
417,0.5290,0.8462
418,0.5290,0.8415
419,0.5262,0.8513
420,0.5225,0.9735
421,0.5141,1.0848
422,0.5373,0.8336
423,0.6496,0.8344
424,0.6673,0.8547
425,0.5082,0.8428
426,0.5224,0.8453
427,0.5502,0.8398
428,0.5042,0.8530
429,0.5223,0.8432
430,0.5202,0.9610
431,0.5438,0.8575
432,0.5120,0.8418
433,0.6317,0.8647
434,0.4555,0.8467
435,0.5193,0.7712
436,0.5415,1.0533
437,0.5071,0.9250
438,0.4543,0.9637
439,0.8097,0.9564
440,0.6253,0.9554
441,0.6843,0.8958
442,0.6368,1.1611
443,0.6627,0.8728
444,0.6015,0.8494
445,0.9088,0.8316
446,0.5524,0.8520
447,0.5277,0.8452
448,0.5220,1.0323
449,0.5376,1.0455
450,0.5148,0.8372
451,0.7095,0.8540
452,0.5576,0.8402
453,0.5167,0.8491
454,0.5390,0.8418
455,0.5182,0.8535
456,0.5232,0.8428
457,0.5202,0.8459
458,0.5371,0.8894
459,0.5234,0.8625
460,0.5332,0.8458
461,0.5519,0.8469
462,0.5304,0.8584
463,0.5835,0.8451
464,0.4541,0.8381
465,0.5326,0.8545
466,0.5162,0.8556
467,0.5203,0.8465
468,0.5461,0.8014
469,0.5211,1.0796
470,0.5115,1.0255
471,0.4787,0.8893
472,0.8083,0.9773
473,0.7346,0.8471
474,0.5235,0.8688
475,0.7452,0.8416
476,0.5034,0.8429
477,0.5514,0.8419
478,0.5199,0.9718
479,0.5142,1.1060
480,0.5267,0.8704
481,0.6705,0.9727
482,0.6882,0.8568
483,0.5383,0.8495
484,0.6749,0.8545
485,0.5406,0.8372
486,0.5182,0.8336
487,0.5348,0.8488
488,0.5057,0.8702
489,0.5275,0.8364
490,0.5298,0.8488
491,0.5394,0.8492
492,0.5188,0.8386
493,0.5390,0.8413
494,0.5145,0.8480
495,0.5222,1.3241
496,0.5304,1.5379
497,0.5397,1.0474
498,1.0014,0.9683
499,0.7419,0.9497
500,0.7546,0.8867
501,0.6636,1.2005
502,0.6587,0.8700
503,0.6048,0.8459
504,0.9515,0.8540
505,0.5318,0.8375
506,0.5097,0.8426
507,0.5277,1.0386
508,0.5115,1.1226
509,0.5318,0.8554
510,0.7139,0.8351
511,0.6393,0.8556
512,0.5272,0.8292
513,0.5019,0.8369
514,0.5474,0.8419
515,0.5034,0.8505
516,0.5283,0.9074
517,0.5318,0.8745
518,0.5252,0.8520
519,0.5741,0.8556
520,0.4972,0.8482
521,0.5329,0.8577
522,0.5308,0.8880
523,0.5232,1.0802
524,0.5393,0.9361
525,0.5499,1.1509
526,0.7189,1.3081
527,0.6590,1.1344
528,0.8740,0.8579
529,0.8300,0.9179
530,0.6285,0.8848
531,0.5406,0.8402
532,0.5845,0.8605
533,0.4768,0.8591
534,0.5048,0.8619
535,0.5403,0.8475
536,0.5281,1.0039
537,0.5407,1.0910
538,0.5019,0.8490
539,0.6747,0.8477
540,0.6580,0.8606
541,0.5277,0.8482
542,0.5218,0.8366
543,0.5362,0.8529
544,0.5186,0.9491
545,0.5198,0.8747
546,0.5355,0.8544
547,0.6190,0.8390
548,0.4441,0.8446
549,0.5423,0.8299
550,0.5124,0.8392
551,0.5226,0.8435
552,0.5207,0.8362
553,0.5278,0.8444
554,0.5274,0.8516
555,0.5098,0.7851
556,0.5331,1.0625
557,0.5295,0.9472
558,0.4909,0.9240
559,0.7745,0.9589
560,0.6543,0.8244
561,0.6351,0.8500
562,0.6580,0.8417
563,0.7073,1.0403
564,0.5323,1.1290
565,0.5140,0.8488
566,0.7209,0.8517
567,0.6384,0.8409
568,0.5244,0.8612
569,0.5265,0.8416
570,0.5170,0.8505
571,0.5482,0.8444
572,0.5067,0.8378
573,0.5383,0.8454
574,0.5153,0.8723
575,0.5170,0.8967
576,0.5342,0.8446
577,0.5288,0.8343
578,0.5548,0.8465
579,0.5133,0.8282
580,0.5245,0.8515
581,0.5240,0.8515
582,0.5128,0.8576
583,0.5432,0.8484
584,0.5165,0.7690
585,0.5292,0.9197
586,0.5205,1.0763
587,0.4433,0.9748
588,0.6900,1.0020
