frame,cpu_ms,gpu_ms
0,2.5630,2.8160
1,2.4049,2.7543
2,2.3108,2.6875
3,1.6888,2.7177
4,2.0343,3.3049
5,1.9375,4.4599
6,1.9298,3.2714
7,2.6045,2.7281
8,3.1142,2.9648
9,2.3380,3.4947
10,1.9769,3.0808
11,2.1956,4.2476
12,2.6562,4.3079
13,2.2462,2.8329
14,3.1190,2.7076
15,2.5433,3.0737
16,1.7960,2.6755
17,1.9196,2.6450
18,2.3322,4.9941
19,1.9439,4.6765
20,1.9164,2.8481
21,4.3073,2.7168
22,2.0533,2.9961
23,1.6173,2.7008
24,2.0003,2.6734
25,2.2185,3.8161
26,1.9561,4.5115
27,1.9080,2.8516
28,3.1038,2.7375
29,3.2453,2.9934
30,1.5353,2.6404
31,2.0473,2.6630
32,2.1703,2.6505
33,1.8847,4.9375
34,1.9641,4.2278
35,1.9152,2.8066
36,4.2285,2.6759
37,1.9663,2.9641
38,1.7072,2.6531
39,1.8758,2.6451
40,2.2663,2.9572
41,1.9276,4.1073
42,1.9384,3.1444
43,2.2692,2.6822
44,3.0439,2.8931
45,2.3220,3.0967
46,1.9827,2.6444
47,2.1237,3.0517
48,2.2869,3.3270
49,1.9218,4.6778
50,2.3029,2.9048
51,2.2221,2.7220
52,3.7465,3.1358
53,1.4033,3.8025
54,2.2258,4.3342
55,2.1430,4.2127
56,2.9345,3.8836
57,2.8149,2.7382
58,2.3868,2.6977
59,2.4993,2.5614
60,1.9105,3.3400
61,2.0390,3.6974
62,1.8297,4.1657
63,2.6548,4.2065
64,3.1053,2.7933
65,2.7150,2.7486
66,2.5093,3.0007
67,1.8132,2.9102
68,1.9632,3.3505
69,2.2030,4.1236
70,2.2510,3.6379
71,2.7297,3.2048
72,3.1113,2.7398
73,2.4700,2.9351
74,2.2687,2.9496
75,1.7720,4.1699
76,2.1955,4.7896
77,2.3140,4.4452
78,3.4385,2.7753
79,2.9225,2.9767
80,2.7496,3.0941
81,1.6620,2.9371
82,2.2427,3.1232
83,2.3914,4.2072
84,2.0988,4.2480
85,2.5822,2.8460
86,2.8641,2.9887
87,2.4130,3.0755
88,1.6733,3.1095
89,2.2116,3.4733
90,2.0557,3.7236
91,2.3583,4.1487
92,2.8705,2.8234
93,2.4460,2.6695
94,2.8415,2.9584
95,1.6510,2.9215
96,1.9539,3.1475
97,2.2227,5.6543
98,2.2555,2.9139
99,2.4359,2.6949
100,5.1167,3.0675
101,1.5356,3.1704
102,1.9646,2.9861
103,2.3255,3.1443
104,2.3934,3.7472
105,2.2992,4.4183
106,2.6242,3.1041
107,2.3535,2.6884
108,3.2294,2.5130
109,1.3499,3.3421
110,1.9587,4.1872
111,1.7833,4.3286
