frame,cpu_ms,gpu_ms
0,9.1740,0.0000
1,8.1940,0.0000
2,8.1900,0.0000
3,6.3690,0.0000
4,9.6430,0.0000
5,8.6500,0.0000
6,13.0450,0.0000
7,11.0140,0.0000
8,7.3570,0.0000
9,7.8270,0.0000
10,6.2930,0.0000
11,11.1060,0.0000
12,9.0760,0.0000
13,8.7130,0.0000
14,9.6660,0.0000
15,8.0350,0.0000
16,7.5070,0.0000
17,6.0290,0.0000
18,11.2240,0.0000
19,6.3500,0.0000
20,10.1000,0.0000
21,7.3290,0.0000
22,10.2710,0.0000
23,8.6610,0.0000
24,7.7660,0.0000
25,7.5100,0.0000
26,6.7650,0.0000
27,10.8960,0.0000
28,7.5810,0.0000
29,8.0080,0.0000
30,5.2430,0.0000
31,6.2700,0.0000
32,14.1570,0.0000
33,8.2950,0.0000
34,6.8930,0.0000
35,8.9010,0.0000
36,4.6840,0.0000
37,6.8600,0.0000
38,6.5510,0.0000
39,10.3930,0.0000
40,5.9790,0.0000
41,8.3720,0.0000
42,10.5290,0.0000
43,5.2740,0.0000
44,7.3770,0.0000
45,6.4420,0.0000
46,6.7080,0.0000
47,6.6350,0.0000
48,6.5420,0.0000
49,7.8540,0.0000
50,6.1060,0.0000
51,6.7830,0.0000
52,6.2710,0.0000
53,6.7400,0.0000
54,6.8900,0.0000
55,6.6820,0.0000
56,5.5290,0.0000
57,7.6830,0.0000
58,5.1950,0.0000
59,5.9220,0.0000
60,6.6560,0.0000
61,6.8570,0.0000
62,6.2780,0.0000
63,6.5330,0.0000
64,6.1710,0.0000
65,6.0540,0.0000
66,7.9100,0.0000
67,6.1700,0.0000
68,5.4990,0.0000
69,8.5060,0.0000
70,6.7040,0.0000
71,12.5620,0.0000
72,6.4450,0.0000
73,6.9130,0.0000
74,5.8310,0.0000
75,5.3060,0.0000
76,6.3160,0.0000
77,6.8720,0.0000
78,5.2040,0.0000
79,7.1120,0.0000
80,6.3800,0.0000
81,6.6020,0.0000
82,5.7130,0.0000
83,7.4140,0.0000
84,4.7730,0.0000
85,6.2270,0.0000
86,6.5150,0.0000
87,8.0270,0.0000
88,5.8690,0.0000
89,6.5730,0.0000
90,7.6450,0.0000
91,6.1600,0.0000
92,6.7660,0.0000
93,7.5260,0.0000
94,6.5560,0.0000
95,7.9260,0.0000
96,7.9980,0.0000
97,7.6870,0.0000
98,6.5580,0.0000
99,8.2140,0.0000
100,7.4670,0.0000
101,7.5830,0.0000
102,5.5630,0.0000
103,5.8140,0.0000
104,6.8970,0.0000
105,7.6360,0.0000
106,4.4440,0.0000
107,5.3280,0.0000
108,5.9200,0.0000
109,5.5830,0.0000
110,7.6420,0.0000
111,6.1530,0.0000
112,5.0880,0.0000
113,5.7550,0.0000
114,5.6610,0.0000
115,5.9100,0.0000
116,6.7860,0.0000
117,6.7820,0.0000
118,5.5880,0.0000
119,6.5510,0.0000
120,8.2250,0.0000
121,10.0600,0.0000
122,5.3310,0.0000
123,6.3040,0.0000
124,4.9340,0.0000
125,6.5150,0.0000
126,5.4270,0.0000
127,7.4620,0.0000
128,7.3760,0.0000
129,9.9270,0.0000
130,6.6020,0.0000
131,8.7950,0.0000
132,7.1630,0.0000
133,5.0420,0.0000
134,8.0850,0.0000
135,7.4040,0.0000
136,5.8020,0.0000
137,7.0340,0.0000
138,7.1650,0.0000
139,6.0390,0.0000
140,7.0300,0.0000
141,7.3570,0.0000
142,7.1040,0.0000
143,6.3170,0.0000
144,5.3120,0.0000
145,7.0300,0.0000
146,5.8190,0.0000
147,6.2100,0.0000
148,6.8320,0.0000
149,7.8820,0.0000
150,5.4060,0.0000
151,6.0300,0.0000
152,5.9560,0.0000
153,6.2200,0.0000
154,7.5860,0.0000
155,5.6860,0.0000
156,5.4610,0.0000
157,7.8510,0.0000
158,15.0440,0.0000
159,6.4580,0.0000
160,5.6800,0.0000
161,7.6710,0.0000
162,5.7390,0.0000
163,5.9780,0.0000
164,5.3100,0.0000
165,7.2800,0.0000
166,6.9300,0.0000
167,8.0000,0.0000
168,5.2800,0.0000
169,5.5750,0.0000
170,6.6870,0.0000
171,10.0940,0.0000
172,6.8770,0.0000
173,7.9190,0.0000
174,6.5510,0.0000
175,5.9110,0.0000
176,7.6380,0.0000
177,6.1190,0.0000
178,6.8420,0.0000
179,7.5250,0.0000
180,10.2610,0.0000
181,7.7410,0.0000
182,8.9760,0.0000
183,8.9410,0.0000
184,9.3360,0.0000
185,7.6770,0.0000
186,13.1070,0.0000
187,5.9670,0.0000
188,4.9070,0.0000
189,8.3080,0.0000
190,9.4760,0.0000
191,8.4540,0.0000
192,6.5060,0.0000
193,6.0700,0.0000
194,7.6200,0.0000
195,7.8290,0.0000
196,6.6200,0.0000
197,7.6340,0.0000
198,6.4670,0.0000
199,7.9740,0.0000
200,6.6320,0.0000
201,6.7900,0.0000
202,6.3660,0.0000
203,4.8560,0.0000
204,8.1840,0.0000
205,5.8350,0.0000
206,6.4640,0.0000
207,10.5080,0.0000
208,6.4090,0.0000
209,6.8970,0.0000
210,5.8020,0.0000
211,9.5450,0.0000
212,4.8950,0.0000
213,7.0570,0.0000
214,5.8020,0.0000
215,6.0550,0.0000
216,8.5810,0.0000
217,6.8650,0.0000
218,9.3970,0.0000
219,7.5110,0.0000
220,10.4790,0.0000
221,6.9670,0.0000
222,9.5840,0.0000
223,8.0090,0.0000
224,9.1020,0.0000
225,9.9750,0.0000
226,10.2930,0.0000
227,7.9980,0.0000
228,11.1950,0.0000
229,11.1060,0.0000
230,8.2050,0.0000
231,8.3760,0.0000
232,9.5480,0.0000
233,7.1780,0.0000
234,5.4690,0.0000
235,7.4320,0.0000
236,5.1690,0.0000
237,7.3610,0.0000
238,5.1660,0.0000
239,6.4090,0.0000
240,5.8560,0.0000
241,6.3120,0.0000
242,4.6480,0.0000
243,5.9860,0.0000
244,5.9370,0.0000
245,7.4320,0.0000
246,6.7360,0.0000
247,5.8060,0.0000
248,5.5000,0.0000
249,8.0680,0.0000
250,6.0040,0.0000
251,7.8940,0.0000
252,6.2520,0.0000
253,6.0510,0.0000
254,7.2630,0.0000
255,8.8890,0.0000
256,8.4910,0.0000
257,7.4240,0.0000
258,8.5140,0.0000
259,7.1110,0.0000
260,8.6980,0.0000
261,7.8180,0.0000
262,8.5870,0.0000
263,7.9760,0.0000
264,7.0800,0.0000
265,7.6840,0.0000
266,7.3510,0.0000
267,8.8570,0.0000
268,6.3060,0.0000
269,7.6190,0.0000
270,7.6780,0.0000
271,7.4800,0.0000
272,7.2960,0.0000
273,9.0830,0.0000
274,8.4790,0.0000
275,9.0800,0.0000
276,7.8170,0.0000
277,6.5530,0.0000
278,7.3960,0.0000
279,10.3710,0.0000
280,11.1740,0.0000
281,5.8950,0.0000
282,7.8110,0.0000
283,9.6580,0.0000
284,8.4460,0.0000
285,10.4140,0.0000
286,7.5400,0.0000
287,6.4480,0.0000
288,6.3930,0.0000
289,6.5950,0.0000
290,5.2260,0.0000
291,6.6670,0.0000
292,6.5400,0.0000
293,7.3040,0.0000
294,4.5930,0.0000
295,5.5220,0.0000
296,5.8800,0.0000
297,7.3780,0.0000
298,5.6640,0.0000
299,6.6870,0.0000
300,7.2160,0.0000
301,5.9280,0.0000
302,6.8810,0.0000
303,5.4370,0.0000
304,6.0730,0.0000
305,6.8450,0.0000
306,7.4380,0.0000
307,5.5610,0.0000
308,5.9720,0.0000
309,7.3940,0.0000
310,5.8500,0.0000
311,6.4640,0.0000
312,6.4730,0.0000
313,6.6840,0.0000
314,5.8570,0.0000
315,7.3160,0.0000
316,8.0060,0.0000
317,7.1010,0.0000
318,7.1840,0.0000
319,7.2670,0.0000
320,8.4520,0.0000
321,13.5890,0.0000
322,7.1530,0.0000
323,9.1500,0.0000
324,5.2760,0.0000
325,6.4000,0.0000
326,7.1630,0.0000
327,8.9890,0.0000
328,8.8800,0.0000
329,6.6590,0.0000
330,5.6510,0.0000
331,5.1800,0.0000
332,6.6120,0.0000
333,5.8230,0.0000
334,5.3670,0.0000
335,5.6990,0.0000
336,8.8380,0.0000
337,6.7150,0.0000
338,7.1300,0.0000
339,7.6680,0.0000
340,6.2630,0.0000
341,6.5720,0.0000
342,5.3320,0.0000
343,6.2950,0.0000
344,6.4410,0.0000
345,8.8600,0.0000
346,4.7140,0.0000
347,6.4990,0.0000
348,5.9770,0.0000
349,5.5620,0.0000
350,6.9220,0.0000
351,5.8090,0.0000
352,5.6670,0.0000
353,5.8370,0.0000
354,8.2290,0.0000
355,6.2850,0.0000
356,6.7900,0.0000
357,6.8450,0.0000
358,5.9580,0.0000
359,8.1150,0.0000
360,6.3280,0.0000
361,6.6900,0.0000
362,6.7930,0.0000
363,8.7370,0.0000
364,4.8920,0.0000
365,5.8580,0.0000
366,6.7550,0.0000
367,6.9280,0.0000
368,9.3730,0.0000
369,10.1410,0.0000
370,7.2270,0.0000
371,17.0370,0.0000
372,9.9400,0.0000
373,9.9540,0.0000
374,8.0630,0.0000
375,10.4770,0.0000
376,8.2970,0.0000
377,8.0480,0.0000
378,8.6070,0.0000
379,10.0820,0.0000
380,7.7920,0.0000
381,9.3440,0.0000
382,8.6800,0.0000
383,9.1510,0.0000
384,7.2970,0.0000
385,8.3620,0.0000
386,8.0720,0.0000
387,11.5690,0.0000
388,5.4260,0.0000
389,6.7660,0.0000
390,4.9230,0.0000
391,5.5590,0.0000
392,5.4820,0.0000
393,7.1800,0.0000
394,6.8310,0.0000
395,5.7170,0.0000
396,7.6360,0.0000
397,7.0900,0.0000
398,7.4140,0.0000
399,9.6190,0.0000
400,6.0150,0.0000
401,5.7440,0.0000
402,6.7550,0.0000
403,5.5190,0.0000
404,5.8190,0.0000
405,5.8600,0.0000
406,6.6110,0.0000
407,6.5380,0.0000
408,7.5770,0.0000
409,9.8350,0.0000
410,7.2550,0.0000
411,11.4460,0.0000
412,7.2900,0.0000
413,9.5510,0.0000
414,7.5300,0.0000
415,7.2620,0.0000
416,8.3820,0.0000
417,10.5880,0.0000
418,10.2710,0.0000
419,6.8310,0.0000
420,10.9690,0.0000
421,6.3220,0.0000
422,9.7360,0.0000
423,8.3780,0.0000
424,9.0710,0.0000
425,5.4260,0.0000
426,6.1740,0.0000
427,5.2340,0.0000
428,5.4140,0.0000
429,5.7010,0.0000
430,8.4240,0.0000
431,6.3530,0.0000
432,6.9080,0.0000
433,6.1710,0.0000
434,6.1980,0.0000
435,5.9160,0.0000
436,5.7750,0.0000
437,6.9970,0.0000
438,5.4130,0.0000
439,5.7680,0.0000
440,6.7100,0.0000
441,7.2900,0.0000
442,5.2690,0.0000
443,7.6360,0.0000
444,6.7930,0.0000
445,8.4660,0.0000
446,8.1080,0.0000
447,9.0280,0.0000
448,8.6420,0.0000
449,9.6320,0.0000
450,8.1800,0.0000
451,13.0430,0.0000
452,11.1510,0.0000
453,9.8040,0.0000
454,11.1360,0.0000
455,10.9000,0.0000
456,6.1410,0.0000
457,5.6500,0.0000
458,6.1980,0.0000
459,5.5910,0.0000
460,5.3400,0.0000
461,6.9100,0.0000
462,5.5270,0.0000
463,8.0660,0.0000
464,5.8190,0.0000
465,6.5890,0.0000
466,8.2870,0.0000
467,7.7040,0.0000
468,5.8140,0.0000
469,4.9580,0.0000
470,6.6000,0.0000
471,6.0280,0.0000
472,6.7270,0.0000
473,8.4560,0.0000
474,6.0310,0.0000
475,6.4260,0.0000
476,7.0760,0.0000
477,6.9750,0.0000
478,10.1230,0.0000
479,7.7060,0.0000
480,10.0760,0.0000
481,8.1830,0.0000
482,11.5370,0.0000
483,10.9950,0.0000
484,6.2240,0.0000
485,9.0580,0.0000
486,5.3440,0.0000
487,6.2380,0.0000
488,5.3750,0.0000
489,7.1990,0.0000
490,4.5060,0.0000
491,6.6110,0.0000
492,5.5200,0.0000
493,7.8850,0.0000
494,5.5010,0.0000
495,7.0230,0.0000
496,9.4640,0.0000
497,6.3320,0.0000
498,7.3830,0.0000
499,5.7300,0.0000
500,9.1710,0.0000
501,7.6700,0.0000
502,11.3390,0.0000
503,6.0620,0.0000
504,8.3120,0.0000
505,6.4350,0.0000
506,6.2480,0.0000
507,6.2430,0.0000
508,6.7900,0.0000
509,7.4500,0.0000
510,6.2560,0.0000
511,7.5630,0.0000
512,6.0100,0.0000
513,6.9090,0.0000
514,7.1720,0.0000
515,7.5850,0.0000
516,4.9550,0.0000
517,5.8490,0.0000
518,7.2190,0.0000
519,10.0770,0.0000
520,7.6490,0.0000
521,9.8530,0.0000
522,7.7460,0.0000
523,9.0560,0.0000
524,8.1110,0.0000
525,9.8180,0.0000
526,8.0280,0.0000
527,7.5210,0.0000
528,8.8080,0.0000
529,8.1040,0.0000
530,7.5080,0.0000
531,14.4110,0.0000
532,10.6360,0.0000
533,6.3700,0.0000
534,8.8130,0.0000
535,8.0340,0.0000
536,9.6180,0.0000
537,7.8470,0.0000
538,9.0290,0.0000
539,8.4730,0.0000
540,9.3850,0.0000
541,8.8110,0.0000
542,9.3300,0.0000
543,12.7010,0.0000
544,8.1780,0.0000
545,9.9970,0.0000
546,7.1340,0.0000
547,9.6610,0.0000
548,7.9480,0.0000
549,12.2450,0.0000
550,7.1640,0.0000
551,8.4290,0.0000
552,7.7570,0.0000
553,8.4940,0.0000
554,12.9940,0.0000
555,8.2310,0.0000
556,9.2140,0.0000
557,8.6390,0.0000
558,10.9250,0.0000
559,7.4680,0.0000
560,7.7550,0.0000
561,9.5430,0.0000
562,12.0420,0.0000
563,8.1150,0.0000
564,5.7290,0.0000
565,5.7680,0.0000
566,6.4920,0.0000
567,5.4400,0.0000
568,5.6770,0.0000
569,5.7100,0.0000
570,6.1040,0.0000
571,9.4980,0.0000
572,4.4560,0.0000
573,6.6080,0.0000
574,6.3850,0.0000
575,6.6930,0.0000
576,4.3100,0.0000
577,5.1210,0.0000
578,5.8290,0.0000
579,6.5030,0.0000
580,6.5260,0.0000
581,6.7600,0.0000
582,8.3330,0.0000
583,8.1340,0.0000
584,9.6700,0.0000
585,7.1940,0.0000
586,10.1800,0.0000
587,7.6730,0.0000
588,10.3350,0.0000
589,6.8420,0.0000
590,9.6260,0.0000
591,8.6720,0.0000
592,10.4970,0.0000
593,6.5820,0.0000
594,7.6760,0.0000
595,7.4720,0.0000
596,9.1330,0.0000
597,10.1710,0.0000
598,8.5150,0.0000
599,11.9400,0.0000
600,8.3650,0.0000
601,11.1760,0.0000
602,6.2670,0.0000
603,11.0670,0.0000
604,8.7260,0.0000
605,7.9270,0.0000
606,8.4680,0.0000
607,8.2650,0.0000
608,8.9910,0.0000
609,7.0340,0.0000
610,6.9130,0.0000
611,6.5040,0.0000
612,6.2160,0.0000
613,5.7790,0.0000
614,4.8600,0.0000
615,6.4160,0.0000
616,5.4060,0.0000
617,5.6120,0.0000
618,6.1700,0.0000
619,8.5400,0.0000
620,5.1990,0.0000
621,6.6910,0.0000
622,9.6340,0.0000
623,6.9750,0.0000
624,5.3550,0.0000
625,5.9750,0.0000
626,6.7610,0.0000
627,8.0750,0.0000
628,5.7000,0.0000
629,8.0570,0.0000
630,7.6900,0.0000
631,9.2440,0.0000
632,9.2050,0.0000
633,8.9400,0.0000
634,8.6550,0.0000
635,8.8600,0.0000
636,9.5550,0.0000
637,6.8160,0.0000
638,7.6960,0.0000
639,10.0660,0.0000
640,9.5960,0.0000
641,5.6740,0.0000
642,5.5460,0.0000
643,7.6540,0.0000
644,6.3990,0.0000
645,7.1910,0.0000
646,5.3610,0.0000
647,5.5730,0.0000
648,9.1300,0.0000
649,7.2020,0.0000
650,5.2850,0.0000
651,6.8140,0.0000
652,6.0350,0.0000
653,8.5370,0.0000
654,6.0860,0.0000
655,5.9130,0.0000
656,5.6180,0.0000
657,7.1120,0.0000
658,7.8410,0.0000
659,8.0090,0.0000
660,8.8030,0.0000
661,7.5160,0.0000
662,10.2420,0.0000
663,8.2400,0.0000
664,10.4130,0.0000
665,8.0510,0.0000
666,9.1550,0.0000
667,7.8570,0.0000
668,10.2200,0.0000
669,9.1890,0.0000
670,6.8930,0.0000
671,5.0210,0.0000
672,6.4270,0.0000
673,5.4230,0.0000
674,6.3690,0.0000
675,8.0300,0.0000
676,5.6000,0.0000
677,8.5890,0.0000
678,5.9730,0.0000
679,6.7100,0.0000
680,5.5050,0.0000
681,7.7850,0.0000
682,7.0520,0.0000
683,6.0510,0.0000
684,8.0400,0.0000
685,7.3440,0.0000
686,6.3340,0.0000
687,5.9950,0.0000
688,6.9680,0.0000
689,4.9350,0.0000
690,5.4580,0.0000
691,6.5510,0.0000
692,6.4620,0.0000
693,5.7360,0.0000
694,5.5310,0.0000
695,6.0400,0.0000
696,5.5030,0.0000
697,6.7150,0.0000
698,6.1120,0.0000
699,6.3270,0.0000
700,5.9560,0.0000
701,7.0980,0.0000
702,5.0230,0.0000
703,5.6200,0.0000
704,4.7620,0.0000
705,7.1430,0.0000
706,8.6080,0.0000
707,6.5440,0.0000
708,6.0080,0.0000
709,5.1540,0.0000
710,6.8270,0.0000
711,6.2130,0.0000
712,6.4780,0.0000
713,6.7190,0.0000
714,7.3870,0.0000
715,4.5260,0.0000
716,5.9780,0.0000
717,7.3680,0.0000
718,7.1150,0.0000
719,7.3840,0.0000
720,7.3060,0.0000
721,9.3030,0.0000
722,8.2170,0.0000
723,11.7830,0.0000
724,5.9870,0.0000
725,9.5230,0.0000
726,8.5730,0.0000
727,10.2490,0.0000
728,8.8880,0.0000
729,9.4080,0.0000
730,11.1730,0.0000
731,7.8390,0.0000
732,10.6160,0.0000
733,7.6050,0.0000
734,9.7230,0.0000
735,8.5850,0.0000
736,10.1650,0.0000
737,6.3280,0.0000
738,6.7360,0.0000
739,6.2110,0.0000
740,5.2760,0.0000
741,6.3960,0.0000
742,6.7780,0.0000
743,7.7020,0.0000
744,6.1560,0.0000
745,7.3610,0.0000
746,6.0920,0.0000
747,7.4080,0.0000
748,6.3930,0.0000
749,6.8720,0.0000
750,6.5740,0.0000
751,6.3600,0.0000
752,6.7350,0.0000
753,9.1550,0.0000
754,5.4930,0.0000
755,9.5940,0.0000
756,7.9970,0.0000
757,8.9250,0.0000
758,9.3900,0.0000
759,9.1610,0.0000
760,8.9330,0.0000
761,10.6900,0.0000
762,7.8180,0.0000
763,5.7860,0.0000
764,6.4700,0.0000
765,8.0900,0.0000
766,6.2620,0.0000
767,6.3750,0.0000
768,5.6830,0.0000
769,6.3430,0.0000
770,7.8820,0.0000
771,7.3460,0.0000
772,5.7080,0.0000
773,6.0830,0.0000
774,8.1240,0.0000
775,7.0090,0.0000
776,4.7400,0.0000
777,8.6430,0.0000
778,6.7740,0.0000
779,7.5550,0.0000
780,6.6050,0.0000
781,6.2390,0.0000
782,8.9430,0.0000
783,7.9770,0.0000
784,8.2420,0.0000
785,7.0270,0.0000
786,5.2580,0.0000
787,6.4110,0.0000
788,10.5790,0.0000
789,7.4160,0.0000
790,6.0370,0.0000
791,8.1210,0.0000
